,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
13857,A19276,"['UnCommon Artistry Sterling Silver Earring Backs (Earnuts) Butterfly Clutches (20)', '24 Sterling Silver Lever Back Earrings Earwire Findings', 'Beadalon 216S-275 Knot-A-Bead Tabletop Knotter Tool', 'SE 860PT 4.5"" Pick-Up Tool with 4 Prongs', 'Jeweler&#39;s Hammer in Plastic Rubber with 2-1/2-Inch Head Metal Smithing', 'Beadaholique SSJL04 20-Piece Sterling Jump Lock Rings, 4mm, 20-Gauge, Silver', '2 Strands x AAA Natural Carnelian Gemstone Loose Round Beads 4mm Spacer Beads (15.5"") 14GSK-4R', '5 pairs Genuine Sterling Silver Ear Stud Earring Posts 3.5mm Ball with Loops Earnut Safety Clutches Backs SS17', '10pcs Genuine .925 Sterling Silver Pendant Bail 16mm Pinch Bail Connectors #ss73-4', 'Pandahall 5 Sets 40x30mm Oval Clear Glass Cabochon Cover and 61x48mm Antique Silver Tibetan Style Pendant Cabochon Settings for DIY']",200pcs Top Quality Crimp Bead Knot Cover 4mm Sterling Silver Over Copper #CF9-4,"[4315, 8688, 1572, 1515, 33, 3728, 14977, 18555, 18643, 9383]",14822,"['<a_75><b_199><c_64>', '<a_225><b_118><c_83>', '<a_187><b_62><c_240>', '<a_24><b_91><c_165>', '<a_38><b_65><c_212>', '<a_166><b_44><c_129>', '<a_117><b_234><c_201>', '<a_117><b_88><c_201>', '<a_117><b_88><c_201>', '<a_157><b_138><c_247>']",<a_117><b_88><c_201>
13858,A19426,"['10 Fish Hook Earrings Sterling Silver Earwires with Ball 21 Gauge', 'Bead Mat, Sticky, Clear (7.5x5.5in) - BMS3', 'Beadsmith BN10 English Beading Needles (25 Pack), Size 10', 'Mudder 6 Colors Lobster Claw Clasps and 6 Colors Open Jump Rings for Jewelry Making (12 mm, 5 mm)', 'Beadaholique SS/JR25/2.5 20-Piece Sterling Open Jump Rings, 2.5mm, 22-Gauge, Silver', 'Aketek 25MM Dual Head Nylon Rubber Hammer Jewelers Metal Mallet', 'Souarts Mixed Antique Silver Color Pattern Engraved Metal Buttons Pack of 50pcs', 'Cousin Crimping Plier, Blue', 'PandaHall Elite About 590 Pcs Iron Crimp Beads Covers Cord End Caps Width 3mm for Jewelry Making 6 Colors', '22rolls 1mm Nylon Knot Rattail Strand Bracelet Cord Macrame Jewelry Beading Thread Rope']",Beadalon Acrylic Pliers Rack,"[6215, 8019, 5244, 779, 17409, 4096, 6891, 1753, 626, 6122]",1228,"['<a_225><b_151><c_172>', '<a_223><b_92><c_219>', '<a_255><b_190><c_177>', '<a_231><b_159><c_231>', '<a_230><b_151><c_60>', '<a_38><b_150><c_66>', '<a_38><b_132><c_91>', '<a_168><b_103><c_212>', '<a_35><b_58><c_236>', '<a_51><b_16><c_168>']",<a_211><b_35><c_119>
13859,A19871,"['Grafix Clear Inkjet Film, 8-1/2-Inch by 11-Inch, 50-Pack', 'Martha Stewart Crafts Adhesive Stencils (5.75 by 7.75-Inch), 32269 19 Blossoms Designs', 'Martha Stewart Crafts Alphabet Stencil, 32275 Fancy', 'PEPPERLONELY Brand 100 Gram Antique Silver Mixed Styles Tibetan Style Alloy Pendant Cabochon Bezel Settings', 'Grafix Clear Inkjet Film, 8-1/2-Inch by 11-Inch, 50-Pack', 'Martha Stewart Crafts Alphabet Stencil, 32276 Italic Flourish', 'Beacon 314OZBOT12 3 in 1 Glue, 4 oz, Multicolor', 'Beacon 314OZBOT12 3 in 1 Glue, 4 oz, Multicolor', 'SS20 Swarovski Rhinestones - Crystal Copper (1 Gross = 144 pieces)', 'Sprayway SW946 Silicone Spray and Release Agent, 11 oz']","EK tools Retro Flower Punch, Large, New Package","[6039, 5006, 1331, 13493, 6040, 1187, 7871, 7871, 3985, 15315]",1138,"['<a_248><b_20><c_235>', '<a_106><b_138><c_231>', '<a_120><b_191><c_42>', '<a_86><b_101><c_182>', '<a_248><b_20><c_235>', '<a_120><b_191><c_42>', '<a_12><b_35><c_54>', '<a_12><b_35><c_54>', '<a_59><b_59><c_114>', '<a_201><b_49><c_58>']",<a_54><b_167><c_192>
13860,A20850,"['Sterling Silver Wire 22 Gauge Round Half Hard (5 Feet)', 'da Vinci Watercolor Series 5360 Paint Brush Set, Round Kolinsky Red Sable, Multiple Sizes, 3 Brushes (Series 36)', 'DANIEL SMITH 285250077 Extra Fine Secondary Watercolor Set, 3 Tubes, 15ml']",Embroidery Floss SOLEDI Embroidery Thread 100 Skeins Rainbow Colors Cross Stitch Threads for Friendship Bracelets with Embroidery Tools,"[573, 2740, 13673]",926,"['<a_230><b_70><c_126>', '<a_177><b_58><c_184>', '<a_215><b_101><c_108>']",<a_163><b_208><c_102>
13861,A22047,"['Apoxie Sculpt 4 lb. Natural, 2 part modeling compound (A & B)', 'Apoxie Sculpt 4 lb. Natural, 2 part modeling compound (A & B)', 'Delcast UK-13P1 Precision Craft Knife Set, 14 Piece', 'Darice Bead Organizer Carrying Case, 7.5 by 10-Inch', 'Walnut Hollow Basswood Country Plank with Bark for Woodburning, Home Decor and Rustic Weddings, Medium', 'Walnut Hollow Basswood Country Plank with Bark for Woodburning, Home Decor and Rustic Weddings, Medium']",100pcs Genuine Preciosa Bicone Crystal Beads 4mm Ruby Alternatives For Swarovski #5301/5328#preb435,"[6641, 6641, 1579, 6248, 6376, 6376]",18564,"['<a_110><b_95><c_168>', '<a_110><b_95><c_168>', '<a_187><b_49><c_177>', '<a_211><b_35><c_1>', '<a_69><b_38><c_255>', '<a_69><b_38><c_255>']",<a_117><b_214><c_201>
13862,A22261,"['Wonderart Latch-Hook Kit, Twirl, 8"" X 8', 'Ravensburger Bead Magic Weaving Loom', 'Ravensburger Bead Magic Weaving Loom', 'Faber Castell Paint by Number Cupcake Pop-Art - Complete Paint by Number Kit for Kids', 'Creativity for Kids Deluxe Easy Weave Fleece Blanket Making Kit - Makes 1 No Sew Blanket']","Rapesco Heavy Duty 3 Hole Punch, P3100 Heavy Duty, 100 Sheet Capacity","[10775, 13013, 13013, 13081, 11422]",19055,"['<a_221><b_95><c_213>', '<a_47><b_103><c_29>', '<a_47><b_103><c_29>', '<a_182><b_151><c_26>', '<a_221><b_135><c_235>']",<a_24><b_41><c_124>
13863,A22743,"['HiyaHiya Circular 47-inch (120cm) Steel Knitting Needle; Size US 11 (8mm) HISTCIR47-11', 'Lion Brand Yarn 825-216 Amazing Yarn, Cobblestone', 'Needlemaster 40-Piece Interchangeable Aluminum Knitting Set', 'Needlemaster 40-Piece Interchangeable Aluminum Knitting Set', ""CLEARSNAP ColorBox PigmentCat's Eye Inkpad, Smoke Blue"", 'CJESLNA 4 Size Pompom Maker Fluff Ball Bobble Weaver Needle Craft Knitting Wool Tool Kit DIY', '2013newestseller 200pcs Cute Buttons Backhole Scrapbooking Sewing DIY Craft', 'eBoot Bobbin Case Organizer with 25 Clear Sewing Machine Bobbins and Assorted Colors Sewing Thread for Brother/Babylock/ Janome/Kenmore/ Singer', 'Immersive Color Dual Tip Brush Pens with Fineliner Tip (Pack of 24)']","addi 16"" Turbo Circular - US 10 - Knitting Needles from","[10791, 5568, 25, 25, 28, 3237, 9113, 2742, 1233]",6459,"['<a_126><b_184><c_165>', '<a_199><b_20><c_77>', '<a_97><b_132><c_204>', '<a_97><b_132><c_204>', '<a_229><b_208><c_26>', '<a_34><b_208><c_60>', '<a_3><b_56><c_58>', '<a_88><b_95><c_60>', '<a_243><b_209><c_126>']",<a_154><b_32><c_252>
13864,A22743,"['HiyaHiya Circular 47-inch (120cm) Steel Knitting Needle; Size US 11 (8mm) HISTCIR47-11', 'Lion Brand Yarn 825-216 Amazing Yarn, Cobblestone', 'Needlemaster 40-Piece Interchangeable Aluminum Knitting Set', 'Needlemaster 40-Piece Interchangeable Aluminum Knitting Set', ""CLEARSNAP ColorBox PigmentCat's Eye Inkpad, Smoke Blue"", 'CJESLNA 4 Size Pompom Maker Fluff Ball Bobble Weaver Needle Craft Knitting Wool Tool Kit DIY', '2013newestseller 200pcs Cute Buttons Backhole Scrapbooking Sewing DIY Craft', 'eBoot Bobbin Case Organizer with 25 Clear Sewing Machine Bobbins and Assorted Colors Sewing Thread for Brother/Babylock/ Janome/Kenmore/ Singer', 'Immersive Color Dual Tip Brush Pens with Fineliner Tip (Pack of 24)', 'addi 16"" Turbo Circular - US 10 - Knitting Needles from']","addi 16"" Turbo Circular - US 8 - Knitting Needles from","[10791, 5568, 25, 25, 28, 3237, 9113, 2742, 1233, 6459]",6460,"['<a_126><b_184><c_165>', '<a_199><b_20><c_77>', '<a_97><b_132><c_204>', '<a_97><b_132><c_204>', '<a_229><b_208><c_26>', '<a_34><b_208><c_60>', '<a_3><b_56><c_58>', '<a_88><b_95><c_60>', '<a_243><b_209><c_126>', '<a_154><b_32><c_252>']",<a_154><b_32><c_252>
13865,A23707,"['Cricut Cuttlebug Adapter Plate C, 5.875""x7.75', 'Cricut Cuttlebug Adapter Plate C, 5.875""x7.75', 'Spellbinders S5-204 Shapeabilities Lace Hearts Die Templates', ""Crafter's Companion S-Aqua-NAT Nature Spectrum Noir Aqua Markers (12 Pack)"", 'Spellbinders S2-163 Shapeabilities Hydrangea Etched/Wafer Thin Dies', 'My Favorite Things Die-Namics Die Cut, 2-1/4 by 2-5/8-Inch, Royal Leaves', 'La-La Land Crafts Die, Filigree Corner, 1.25 by 1.25-Inch', 'Spellbinders S2-047 Shapeabilities Blooms Four Die D-Lites Templates', 'Spellbinders S2-045 Shapeabilities Blooms Two Die D-Lites Templates', 'Punch Bunch Large Punch, Sun']",Daisy Chain Edger Punch,"[4721, 4721, 3427, 10571, 13811, 17378, 18362, 19163, 12615, 14541]",17398,"['<a_172><b_167><c_231>', '<a_172><b_167><c_231>', '<a_56><b_35><c_179>', '<a_76><b_95><c_40>', '<a_56><b_188><c_249>', '<a_147><b_20><c_235>', '<a_147><b_70><c_9>', '<a_6><b_58><c_114>', '<a_6><b_58><c_114>', '<a_73><b_190><c_114>']",<a_28><b_103><c_107>
13866,A25020,"[""Environmental Technology 8-Ounce Kit Casting' Craft Casting Epoxy, Clear""]","Environmental Technology 8-Ounce Kit Casting' Craft Casting Epoxy, Clear",[3044],3044,['<a_140><b_183><c_230>'],<a_140><b_183><c_230>
13867,A25355,"['Cousin 4460 Craft and Jewelry Tool Kit, 3-Piece', 'Cousin 4460 Craft and Jewelry Tool Kit, 3-Piece', 'TOAOB 1100pcs 4mm the Hole 1mm Tiny Satin Luster Glass Pearl Beads Multi Colors Loose Beads Kit for Jewelry Making', 'Approx X 1500 Jewelry Making Beads Mix Starter Kit for Beginners in Purple, Red & Green & Jewelry Findings']",Femitu 1000PCS Of Silver plated metal daisy spacer beads 4mm,"[2166, 2166, 15028, 19012]",194,"['<a_178><b_184><c_202>', '<a_178><b_184><c_202>', '<a_231><b_208><c_222>', '<a_251><b_73><c_190>']",<a_33><b_118><c_124>
13868,A25355,"['Cousin 4460 Craft and Jewelry Tool Kit, 3-Piece', 'Cousin 4460 Craft and Jewelry Tool Kit, 3-Piece', 'TOAOB 1100pcs 4mm the Hole 1mm Tiny Satin Luster Glass Pearl Beads Multi Colors Loose Beads Kit for Jewelry Making', 'Approx X 1500 Jewelry Making Beads Mix Starter Kit for Beginners in Purple, Red & Green & Jewelry Findings', 'Femitu 1000PCS Of Silver plated metal daisy spacer beads 4mm']",BEADNOVA 4mm Black Onyx Gemstone Round Loose Beads for Jewelry Making (94-96pcs),"[2166, 2166, 15028, 19012, 194]",484,"['<a_178><b_184><c_202>', '<a_178><b_184><c_202>', '<a_231><b_208><c_222>', '<a_251><b_73><c_190>', '<a_33><b_118><c_124>']",<a_231><b_106><c_54>
13869,A25355,"['Cousin 4460 Craft and Jewelry Tool Kit, 3-Piece', 'Cousin 4460 Craft and Jewelry Tool Kit, 3-Piece', 'TOAOB 1100pcs 4mm the Hole 1mm Tiny Satin Luster Glass Pearl Beads Multi Colors Loose Beads Kit for Jewelry Making', 'Approx X 1500 Jewelry Making Beads Mix Starter Kit for Beginners in Purple, Red & Green & Jewelry Findings', 'Femitu 1000PCS Of Silver plated metal daisy spacer beads 4mm', 'BEADNOVA 4mm Black Onyx Gemstone Round Loose Beads for Jewelry Making (94-96pcs)']",BCP 10sets Leather Cord End Cap/ Magnetic Clasp with Locking Mechanism (Fit 3mm Cord),"[2166, 2166, 15028, 19012, 194, 484]",18099,"['<a_178><b_184><c_202>', '<a_178><b_184><c_202>', '<a_231><b_208><c_222>', '<a_251><b_73><c_190>', '<a_33><b_118><c_124>', '<a_231><b_106><c_54>']",<a_185><b_82><c_190>
13870,A25754,"['Knitter\'s Pride Interchangeable Single Cord 16"" Yellow']","RED HEART E302C.0312 Super Saver Jumbo Yarn, Black",[14980],3355,['<a_244><b_62><c_186>'],<a_202><b_167><c_101>
13871,A25754,"['Knitter\'s Pride Interchangeable Single Cord 16"" Yellow', 'RED HEART E302C.0312 Super Saver Jumbo Yarn, Black']","RED HEART E302C.0312 Super Saver Jumbo Yarn, Black","[14980, 3355]",3355,"['<a_244><b_62><c_186>', '<a_202><b_167><c_101>']",<a_202><b_167><c_101>
13872,A25754,"['Knitter\'s Pride Interchangeable Single Cord 16"" Yellow', 'RED HEART E302C.0312 Super Saver Jumbo Yarn, Black', 'RED HEART E302C.0312 Super Saver Jumbo Yarn, Black']",Clover Amour Steel Crochet Hook Set,"[14980, 3355, 3355]",8576,"['<a_244><b_62><c_186>', '<a_202><b_167><c_101>', '<a_202><b_167><c_101>']",<a_187><b_6><c_157>
13873,A25799,"['Susan Bates Silvalume Crochet Hook Set in Pouch Sizes F, G, H, I, J, K', 'Susan Bates Silvalume Crochet Hook Set in Pouch Sizes F, G, H, I, J, K', 'DMC 1765-1/5 Embroidery Hand Needles, 12-Pack, Size 1-5', 'Iris 36-Pack Embroidery Floss Pack, 8m, Variegated Colors', 'Embroidery Floss SOLEDI Embroidery Thread 100 Skeins Rainbow Colors Cross Stitch Threads for Friendship Bracelets with Embroidery Tools', '100x Silver Tone Wire Loop DIY Needle Threader Stitch Insertion Hand Machine Sewing Tool', 'Bernat Blanket Yarn, 10.5 oz, Raspberry Trifle, 1 Ball', 'Boye 29-Inch Aluminum Circular Knitting Needles, Size 4']","Boye 14-Inch Aluminum Single Point Knitting Needles, Size 2","[458, 458, 5923, 10674, 926, 2785, 5314, 6786]",8987,"['<a_126><b_103><c_1>', '<a_126><b_103><c_1>', '<a_255><b_190><c_222>', '<a_250><b_49><c_89>', '<a_163><b_208><c_102>', '<a_207><b_24><c_190>', '<a_202><b_58><c_104>', '<a_32><b_91><c_166>']",<a_32><b_25><c_143>
13874,A25864,"['BEADNOVA 1mm Waxed Cotton Beading Cord Waxed String Wax Coating Cord for Jewelry Making 100 Yards Roll Spool, Black', 'EK Tools Square Punch, 1.75-Inch', 'Beadaholique 50-Piece Bottle Caps Craft Scrapbook Jewelry, 50 Mixed Color', 'niceeshop(TM) Houseware Storage Collection Transparent Plastic 25 Compartments Bobbin Thread Box', 'Susan Bates Silvalume Crochet Hook Set in Pouch Sizes F, G, H, I, J, K', 'Susan Bates Silvalume Crochet Hook Set in Pouch Sizes F, G, H, I, J, K', 'ALLYDREW Spring Fling Washi Tapes Set Colorful Masking Tape Washi Tapes (set of 6)', 'Cousin 31673 Mixed Plastic Beads, Assorted, 5-Pound', 'Scotch 5-Inch Soft Touch Blunt Kid Scissors, 12 Count Teacher Pack, Blue (1442B-12)', 'Neenah Creative Collection Classics Specialty Cardstock Starter Kit, 8.5 X 11 Inches, 72 Count (46407-01)']","Lion Brand 7 Inch, Size 10 Knitting Needles for Kids","[14357, 1967, 5217, 5938, 458, 458, 17991, 718, 4162, 13850]",3934,"['<a_163><b_103><c_249>', '<a_69><b_103><c_254>', '<a_223><b_214><c_19>', '<a_207><b_190><c_104>', '<a_126><b_103><c_1>', '<a_126><b_103><c_1>', '<a_197><b_16><c_180>', '<a_121><b_211><c_67>', '<a_60><b_82><c_134>', '<a_72><b_218><c_192>']",<a_186><b_62><c_94>
