,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
23096,A9520,"['ARTEZA Acrylic Quilters Ruler & Non Slip Rings - Double-Colored Grid Lines (4.5""X4.5"", 6""X6"", 9.5""X9.5"", 12.5""X12.5"", Set of 4)', ""Patterns ByAnnie by Annie's Stiletto & Pressing Tool"", 'Fiskars 8.5 Inch Softouch Spring Action Rag Quilter Snip']",Fons and Porter Thread Snippers,"[8324, 6880, 1455]",15789,"['<a_116><b_214><c_60>', '<a_1><b_91><c_218>', '<a_187><b_159><c_129>']",<a_255><b_91><c_200>
23097,A9573,"['Fiskars 95237097J Rotary Sewing Cutting Set, 3 Piece', 'Olfa 45mm Deluxe Handle Rotary Cutter', 'Tandy Leather Factory 3635 Easy-To-Do Series Rapid Rivets', 'Quilting Blade RD60-18133, Improved Cut, 45mm Rotary Cutter Blades, 10 Pack', 'Threadart Two Huge Spools of Polyester Machine Embroidery Bobbin Thread - 60wt White or Black 2 Spool Twin Pack', 'Amelie Scott Designs 616913540337 Edge Quilting on Your Embroidery Machine', 'Edge to Edge Quilting on Your Embroidery Machine Expanded Pack of Different Designs', 'No-show Polymesh Plus Embroidery Stabilizer/ Backing - John Solomon - 12"" X 10yd', 'YLI 213YLIWHT Woolly Nylon Thread, 1000m, White']",Aleene's No-Sew Fabric Glue 4 oz,"[3224, 901, 592, 1457, 1281, 8504, 15321, 7038, 16010]",3241,"['<a_90><b_90><c_144>', '<a_142><b_159><c_230>', '<a_119><b_190><c_155>', '<a_16><b_159><c_147>', '<a_67><b_167><c_124>', '<a_1><b_218><c_108>', '<a_236><b_183><c_144>', '<a_217><b_117><c_101>', '<a_51><b_16><c_165>']",<a_232><b_208><c_126>
23098,A9573,"['Fiskars 95237097J Rotary Sewing Cutting Set, 3 Piece', 'Olfa 45mm Deluxe Handle Rotary Cutter', 'Tandy Leather Factory 3635 Easy-To-Do Series Rapid Rivets', 'Quilting Blade RD60-18133, Improved Cut, 45mm Rotary Cutter Blades, 10 Pack', 'Threadart Two Huge Spools of Polyester Machine Embroidery Bobbin Thread - 60wt White or Black 2 Spool Twin Pack', 'Amelie Scott Designs 616913540337 Edge Quilting on Your Embroidery Machine', 'Edge to Edge Quilting on Your Embroidery Machine Expanded Pack of Different Designs', 'No-show Polymesh Plus Embroidery Stabilizer/ Backing - John Solomon - 12"" X 10yd', 'YLI 213YLIWHT Woolly Nylon Thread, 1000m, White', ""Aleene's No-Sew Fabric Glue 4 oz""]",Aleene's No-Sew Fabric Glue 4 oz,"[3224, 901, 592, 1457, 1281, 8504, 15321, 7038, 16010, 3241]",3241,"['<a_90><b_90><c_144>', '<a_142><b_159><c_230>', '<a_119><b_190><c_155>', '<a_16><b_159><c_147>', '<a_67><b_167><c_124>', '<a_1><b_218><c_108>', '<a_236><b_183><c_144>', '<a_217><b_117><c_101>', '<a_51><b_16><c_165>', '<a_232><b_208><c_126>']",<a_232><b_208><c_126>
23099,A9573,"['Olfa 45mm Deluxe Handle Rotary Cutter', 'Tandy Leather Factory 3635 Easy-To-Do Series Rapid Rivets', 'Quilting Blade RD60-18133, Improved Cut, 45mm Rotary Cutter Blades, 10 Pack', 'Threadart Two Huge Spools of Polyester Machine Embroidery Bobbin Thread - 60wt White or Black 2 Spool Twin Pack', 'Amelie Scott Designs 616913540337 Edge Quilting on Your Embroidery Machine', 'Edge to Edge Quilting on Your Embroidery Machine Expanded Pack of Different Designs', 'No-show Polymesh Plus Embroidery Stabilizer/ Backing - John Solomon - 12"" X 10yd', 'YLI 213YLIWHT Woolly Nylon Thread, 1000m, White', ""Aleene's No-Sew Fabric Glue 4 oz"", ""Aleene's No-Sew Fabric Glue 4 oz""]","Quilter&#39;s Touch 209G-S Machingers Gloves, Small/Medium"" />","[901, 592, 1457, 1281, 8504, 15321, 7038, 16010, 3241, 3241]",2816,"['<a_142><b_159><c_230>', '<a_119><b_190><c_155>', '<a_16><b_159><c_147>', '<a_67><b_167><c_124>', '<a_1><b_218><c_108>', '<a_236><b_183><c_144>', '<a_217><b_117><c_101>', '<a_51><b_16><c_165>', '<a_232><b_208><c_126>', '<a_232><b_208><c_126>']",<a_2><b_189><c_249>
23100,A9573,"['Tandy Leather Factory 3635 Easy-To-Do Series Rapid Rivets', 'Quilting Blade RD60-18133, Improved Cut, 45mm Rotary Cutter Blades, 10 Pack', 'Threadart Two Huge Spools of Polyester Machine Embroidery Bobbin Thread - 60wt White or Black 2 Spool Twin Pack', 'Amelie Scott Designs 616913540337 Edge Quilting on Your Embroidery Machine', 'Edge to Edge Quilting on Your Embroidery Machine Expanded Pack of Different Designs', 'No-show Polymesh Plus Embroidery Stabilizer/ Backing - John Solomon - 12"" X 10yd', 'YLI 213YLIWHT Woolly Nylon Thread, 1000m, White', ""Aleene's No-Sew Fabric Glue 4 oz"", ""Aleene's No-Sew Fabric Glue 4 oz"", 'Quilter&#39;s Touch 209G-S Machingers Gloves, Small/Medium"" />']","Tandy Leather Screw Post 1/4"" (0.6 cm) Black Finish 10/pk 1290-04"" />","[592, 1457, 1281, 8504, 15321, 7038, 16010, 3241, 3241, 2816]",3016,"['<a_119><b_190><c_155>', '<a_16><b_159><c_147>', '<a_67><b_167><c_124>', '<a_1><b_218><c_108>', '<a_236><b_183><c_144>', '<a_217><b_117><c_101>', '<a_51><b_16><c_165>', '<a_232><b_208><c_126>', '<a_232><b_208><c_126>', '<a_2><b_189><c_249>']",<a_136><b_20><c_123>
23101,A9573,"['Quilting Blade RD60-18133, Improved Cut, 45mm Rotary Cutter Blades, 10 Pack', 'Threadart Two Huge Spools of Polyester Machine Embroidery Bobbin Thread - 60wt White or Black 2 Spool Twin Pack', 'Amelie Scott Designs 616913540337 Edge Quilting on Your Embroidery Machine', 'Edge to Edge Quilting on Your Embroidery Machine Expanded Pack of Different Designs', 'No-show Polymesh Plus Embroidery Stabilizer/ Backing - John Solomon - 12"" X 10yd', 'YLI 213YLIWHT Woolly Nylon Thread, 1000m, White', ""Aleene's No-Sew Fabric Glue 4 oz"", ""Aleene's No-Sew Fabric Glue 4 oz"", 'Quilter&#39;s Touch 209G-S Machingers Gloves, Small/Medium"" />', 'Tandy Leather Screw Post 1/4"" (0.6 cm) Black Finish 10/pk 1290-04"" />']","Clover Self-Threading Needles, Assorted","[1457, 1281, 8504, 15321, 7038, 16010, 3241, 3241, 2816, 3016]",8009,"['<a_16><b_159><c_147>', '<a_67><b_167><c_124>', '<a_1><b_218><c_108>', '<a_236><b_183><c_144>', '<a_217><b_117><c_101>', '<a_51><b_16><c_165>', '<a_232><b_208><c_126>', '<a_232><b_208><c_126>', '<a_2><b_189><c_249>', '<a_136><b_20><c_123>']",<a_109><b_103><c_143>
23102,A10735,"['Rit Dye Liquid Fabric Dye, 8-Ounce,  Cocoa Brown', 'Cottage Mills Color Evaulator II Red and Green Filter', 'Rit Dye Liquid Fabric Dye, 8-Ounce,  Black', 'Quilting Blade, 45mm Rotary Cutter Blades, (5 pack)']","Crafters Workshop TrueCut Non-Slip Ruler Grips, 30/Pkg","[1198, 3521, 1201, 1994]",91,"['<a_77><b_188><c_99>', '<a_153><b_91><c_157>', '<a_77><b_188><c_99>', '<a_197><b_82><c_180>']",<a_50><b_56><c_250>
23103,A10735,"['Rit Dye Liquid Fabric Dye, 8-Ounce,  Cocoa Brown', 'Cottage Mills Color Evaulator II Red and Green Filter', 'Rit Dye Liquid Fabric Dye, 8-Ounce,  Black', 'Quilting Blade, 45mm Rotary Cutter Blades, (5 pack)', 'Crafters Workshop TrueCut Non-Slip Ruler Grips, 30/Pkg']",Quilt In A Day 3000 Sew Straight,"[1198, 3521, 1201, 1994, 91]",3121,"['<a_77><b_188><c_99>', '<a_153><b_91><c_157>', '<a_77><b_188><c_99>', '<a_197><b_82><c_180>', '<a_50><b_56><c_250>']",<a_208><b_62><c_58>
23104,A10735,"['Rit Dye Liquid Fabric Dye, 8-Ounce,  Cocoa Brown', 'Cottage Mills Color Evaulator II Red and Green Filter', 'Rit Dye Liquid Fabric Dye, 8-Ounce,  Black', 'Quilting Blade, 45mm Rotary Cutter Blades, (5 pack)', 'Crafters Workshop TrueCut Non-Slip Ruler Grips, 30/Pkg', 'Quilt In A Day 3000 Sew Straight']","Rotary Cutter Blades 45mm 10-Pack - Fits Fiskars, Olfa, Truecut, & Martelli By Quilt Cutter","[1198, 3521, 1201, 1994, 91, 3121]",5216,"['<a_77><b_188><c_99>', '<a_153><b_91><c_157>', '<a_77><b_188><c_99>', '<a_197><b_82><c_180>', '<a_50><b_56><c_250>', '<a_208><b_62><c_58>']",<a_113><b_218><c_249>
23105,A10735,"['Rit Dye Liquid Fabric Dye, 8-Ounce,  Cocoa Brown', 'Cottage Mills Color Evaulator II Red and Green Filter', 'Rit Dye Liquid Fabric Dye, 8-Ounce,  Black', 'Quilting Blade, 45mm Rotary Cutter Blades, (5 pack)', 'Crafters Workshop TrueCut Non-Slip Ruler Grips, 30/Pkg', 'Quilt In A Day 3000 Sew Straight', 'Rotary Cutter Blades 45mm 10-Pack - Fits Fiskars, Olfa, Truecut, & Martelli By Quilt Cutter']",Creative Grids Hexagon Trim Tool Quilting Ruler Template CGRJAW4,"[1198, 3521, 1201, 1994, 91, 3121, 5216]",11543,"['<a_77><b_188><c_99>', '<a_153><b_91><c_157>', '<a_77><b_188><c_99>', '<a_197><b_82><c_180>', '<a_50><b_56><c_250>', '<a_208><b_62><c_58>', '<a_113><b_218><c_249>']",<a_208><b_190><c_114>
