,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
32334,A5427,"['M. Graham 1/2-Ounce Tube Watercolor Paint, Indian Yellow', 'M. Graham 1/2-Ounce Tube Watercolor Paint, Azo Green', 'CRAFTERS WORKSHOP TCW-157 Templates 12-Inch by 12-Inch, Flower Frenzy', 'Stampers Anonymous Tim Holtz Layered Stencil, 4.125 by 8.5-Inch, Rays', 'Arches Aquarelle Watercolor Block 140 lb. cold press 7 in. x 10 in.', 'CLEARSNAP Clear Scraps CSSM6-FMTRE Family Tree Stencils, 6 by 6', 'Ranger Jungle Dina Wakley Media Stencils, 6"" by 9', 'CRAFTERS WORKSHOP Bible Journaling Stencil - Angel Wings (6"" X 6"")', 'Kuretake MC2036V Gansai Tambi 36 Color Set', 'Ranger WCS01690 Inkssentials Water-Based Stamp Cleaner 4-Ounce']","Hero Arts Clear Design Scrubber Pad, 7.5 by 4.5-Inch","[3028, 97, 1602, 12445, 2281, 3929, 12446, 12447, 2849, 2756]",2002,"['<a_127><b_127><c_127>', '<a_127><b_127><c_127>', '<a_25><b_218><c_197>', '<a_253><b_253><c_114>', '<a_216><b_103><c_129>', '<a_106><b_106><c_254>', '<a_106><b_205><c_231>', '<a_25><b_95><c_212>', '<a_45><b_211><c_157>', '<a_12><b_56><c_25>']",<a_145><b_161><c_45>
32335,A6076,"['Derwent Drawing Chinese Pencil, White (34392)', 'Armadillo Art and Craft Panpastel Ultra Soft Artist Pastel Portrait Set', 'Armadillo Art and Craft Panpastel Ultra Soft Artist Pastel Portrait Set', 'Liquitex 1045152 Acrylic 2Oz. Cadmium Red Light, 2-oz Tube', 'Liquitex 1045601 2 oz Acrylic Naples Hue Paint, 2-oz Tube, Yellow']","General Pencil GEN-570PC Powdered Charcoal, 6 oz/177ml","[2854, 3354, 3354, 1470, 1472]",2209,"['<a_127><b_127><c_156>', '<a_184><b_214><c_77>', '<a_184><b_214><c_77>', '<a_61><b_117><c_47>', '<a_61><b_199><c_250>']",<a_12><b_35><c_213>
32336,A11089,"['Boye Loom Craft Kit Jumbo Spool Knitting Set', 'Red Heart  Boutique Unforgettable Yarn, Dragonfly', 'Clover 3672 Amour Crochet Hook Set, 10 sizes', 'RED HEART Unforgettable Waves Yarn, Stained Glass', 'Clover 3106 Yarn Cutter Pendant, Antique Silver', 'Clover 3106 Yarn Cutter Pendant, Antique Silver', 'Islandoffer Approx. 20pcs Knitting Crochet Locking Stitch Markers', 'Premier Yarns Spangle Yarn Confetti', 'Clover Standing Oval Knitting Loom, One Size', 'Susan Bates 14154 Finishing Value Pack Knitting Needle, Assorted']","Red Heart 395865Red Heart Soft Yarn, Wheat","[5929, 6088, 6571, 6089, 3701, 3701, 7323, 10449, 10531, 8571]",864,"['<a_50><b_151><c_212>', '<a_193><b_193><c_107>', '<a_244><b_137><c_141>', '<a_199><b_117><c_190>', '<a_246><b_118><c_221>', '<a_246><b_118><c_221>', '<a_104><b_82><c_193>', '<a_199><b_58><c_119>', '<a_221><b_214><c_196>', '<a_244><b_20><c_212>']",<a_193><b_62><c_166>
32337,A11089,"['Red Heart  Boutique Unforgettable Yarn, Dragonfly', 'Clover 3672 Amour Crochet Hook Set, 10 sizes', 'RED HEART Unforgettable Waves Yarn, Stained Glass', 'Clover 3106 Yarn Cutter Pendant, Antique Silver', 'Clover 3106 Yarn Cutter Pendant, Antique Silver', 'Islandoffer Approx. 20pcs Knitting Crochet Locking Stitch Markers', 'Premier Yarns Spangle Yarn Confetti', 'Clover Standing Oval Knitting Loom, One Size', 'Susan Bates 14154 Finishing Value Pack Knitting Needle, Assorted', 'Red Heart 395865Red Heart Soft Yarn, Wheat']",Clover Amour Steel Crochet Hook Set,"[6088, 6571, 6089, 3701, 3701, 7323, 10449, 10531, 8571, 864]",8576,"['<a_193><b_193><c_107>', '<a_244><b_137><c_141>', '<a_199><b_117><c_190>', '<a_246><b_118><c_221>', '<a_246><b_118><c_221>', '<a_104><b_82><c_193>', '<a_199><b_58><c_119>', '<a_221><b_214><c_196>', '<a_244><b_20><c_212>', '<a_193><b_62><c_166>']",<a_187><b_6><c_157>
32338,A11659,"['3"" Maroon Double Faced Satin Ribbon 100 yard', 'Prima Marketing RH1001 1 Row Bling on a Roll, 3mm x 10-Yard, Silver', 'Darice 35017 Dry Foam Bouquet Holder with Handle, Large, White/Green', 'Darice 35021-1 9-Inch Lace Collar Bouquet Holder, White', 'Crystal Diamante Corsage Pins pk/100', 'Tear Mender Instant Fabric and Leather Adhesive, 2 oz Bottle-Carded, TM-1', '1440 Pack Crystal Flat Back Rhinestone Round Diamante Gems, Non-Self-adhesive (Clear, 4 MM)', 'Fairfield FAIPFT12 Fiber Poly Fil Bag, 12 oz, White', 'Fairfield FAIPFT12 Fiber Poly Fil Bag, 12 oz, White', 'Crepe Back Satin Bridal Fabric Drapery Soft 60"" Inches By the Yard (1 YARD, Mist Gold)']","Offray Wired Edge Encore Sheer Craft Ribbon, 1-1/2-Inch Wide by 25-Yard Spool, Lime","[11192, 8202, 16792, 16793, 12109, 836, 13978, 3023, 3023, 9596]",9607,"['<a_137><b_103><c_231>', '<a_19><b_91><c_157>', '<a_114><b_190><c_3>', '<a_98><b_242><c_129>', '<a_220><b_117><c_71>', '<a_92><b_195><c_253>', '<a_19><b_92><c_255>', '<a_137><b_41><c_119>', '<a_137><b_41><c_119>', '<a_137><b_85><c_197>']",<a_143><b_143><c_114>
32339,A11925,"['Pandahall 1 Box 420pcs 6 Colors 3mm Column Brass Tube Crimp Beads, Cadmium Free & Lead Free & Nickel Free', 'Spellbinders n One Multipurpose Craft Tool', 'Miraclekoo Craft Ink Pad Finger ink Pad Stamps Partner Set of 12 DIY Assorted Color', 'Sizzix 660994 Thinlits Die, Birch Trees by Tim Holtz', 'Dimensions Crafts 72-74014 Wool Ball Assortment for Needle Felting', 'Red Heart Soft Yarn, Tangerine', 'Red Heart 395865Red Heart Soft Yarn, Wheat', 'Lion Brand Yarn 135-147J Hometown USA Yarn, Minneapolis Purple', 'Knit Picks Yarn Ball Winder', 'WellieSTR 150 Pair Glass Eyes kits 2/3/4mm Assortment For Needle Felting Bears Dolls Decoys Sewing']","Adorox 40"" Inch 100' Ft Clear Cellophane Wrap Roll (Meet FDA Specifications)","[5208, 547, 7242, 10591, 5621, 862, 864, 105, 3120, 2790]",6374,"['<a_14><b_132><c_71>', '<a_90><b_183><c_212>', '<a_186><b_161><c_247>', '<a_190><b_58><c_190>', '<a_42><b_195><c_6>', '<a_193><b_62><c_166>', '<a_193><b_62><c_166>', '<a_199><b_20><c_230>', '<a_156><b_62><c_102>', '<a_156><b_6><c_34>']",<a_241><b_167><c_104>
32340,A11925,"['Spellbinders n One Multipurpose Craft Tool', 'Miraclekoo Craft Ink Pad Finger ink Pad Stamps Partner Set of 12 DIY Assorted Color', 'Sizzix 660994 Thinlits Die, Birch Trees by Tim Holtz', 'Dimensions Crafts 72-74014 Wool Ball Assortment for Needle Felting', 'Red Heart Soft Yarn, Tangerine', 'Red Heart 395865Red Heart Soft Yarn, Wheat', 'Lion Brand Yarn 135-147J Hometown USA Yarn, Minneapolis Purple', 'Knit Picks Yarn Ball Winder', 'WellieSTR 150 Pair Glass Eyes kits 2/3/4mm Assortment For Needle Felting Bears Dolls Decoys Sewing', 'Adorox 40"" Inch 100\' Ft Clear Cellophane Wrap Roll (Meet FDA Specifications)']","ArtBin Super Satchel Double Deep with Removable Dividers, Clear Art and Craft Storage Container Box, 6990AB","[547, 7242, 10591, 5621, 862, 864, 105, 3120, 2790, 6374]",3295,"['<a_90><b_183><c_212>', '<a_186><b_161><c_247>', '<a_190><b_58><c_190>', '<a_42><b_195><c_6>', '<a_193><b_62><c_166>', '<a_193><b_62><c_166>', '<a_199><b_20><c_230>', '<a_156><b_62><c_102>', '<a_156><b_6><c_34>', '<a_241><b_167><c_104>']",<a_176><b_135><c_202>
32341,A12597,"['Clover 3016/16-03 Takumi Bamboo Circular 16-Inch Knitting Needles, Size 3', 'Clover 3016/16-03 Takumi Bamboo Circular 16-Inch Knitting Needles, Size 3', 'HiyaHiya Circular 60-inch (152cm) Bamboo Knitting Needle; Size US 15 (10mm) HIBCIR60-15', 'Darice Collins 6 Count Non Slip Vinyl Template Sheet, 8.5 x 11', 'Global Art 48 Pencil Case Rose']","Xyron 100111 Disposable/Recyclable Sticker Maker, 3-Inch","[859, 859, 15130, 6913, 2219]",3697,"['<a_126><b_244><c_143>', '<a_126><b_244><c_143>', '<a_126><b_184><c_165>', '<a_234><b_151><c_235>', '<a_160><b_189><c_56>']",<a_24><b_44><c_213>
32342,A13986,"['Jacquard iDye Fabric Dye-Violet (For Polyester)"" />', 'Brown for Natural Fabrics Polyester and Nylon 14gm Fabric Dye-iDye (Jacquard)', 'Dritz NR-356 Tomato Pin Cushion, 1-Pack, W/Strawberry', 'Thread Magic Thread Conditioner Combo, CLEAR', 'Cosmos &reg; Pack of 2 Gourd Shape Leather Craft Cloth Wood Handle Scratch Awl Tool Pin Punching']","Jacquard Lumiere Metallic Acrylic Paint 2.25 Ounces-Hi Lite Blue"" />","[1313, 1314, 798, 8277, 3741]",688,"['<a_153><b_49><c_101>', '<a_128><b_208><c_128>', '<a_105><b_205><c_124>', '<a_244><b_92><c_88>', '<a_86><b_208><c_103>']",<a_61><b_82><c_60>
32343,A14188,"['Singer 12-Dial Adjustable Dress Form, Large Red', 'Holbein Traditional Artists&rsquo; Watercolor Set of 12-5ml Tubes', 'Holbein Traditional Artists&rsquo; Watercolor Set of 12-5ml Tubes', 'Attmu Paintbrushes (6 Pack), Long Handle Round Brush Set, Art Paint Brushes for Acrylic, Oil, Watercolors', 'Souarts Mixed Random Shinning Round 2 Holes Wooden Buttons for Sewing Crafting Pack of 100']",Grafix 4-1/2-Ounce Incredible White Mask Liquid Frisket (WM4),"[4900, 3208, 3208, 3331, 3537]",1627,"['<a_197><b_242><c_129>', '<a_184><b_117><c_58>', '<a_184><b_117><c_58>', '<a_197><b_188><c_103>', '<a_19><b_214><c_94>']",<a_201><b_49><c_29>
